rsrp;rsrq
-74;-13
-74;-12
-74;-12
-86;-13
-86;-13
-89;-14
-89;-14
-92;-14
-92;-14
-95;-15
-95;-15
-95;-15
-94;-15
-94;-15
-98;-16
-98;-16
-95;-14
-95;-14
-95;-14
-100;-18
-100;-18
-98;-17
-98;-17
-94;-16
-94;-16
-96;-17
-96;-17
-96;-17
-101;-19
-101;-19
